Household Debt to GDP rate for US
Quarter;Value
2005-01-01;88.406
2005-04-01;89.962
2005-07-01;91.030
2005-10-01;91.939
2006-01-01;92.731
2006-04-01;94.243
2006-07-01;95.827
2006-10-01;96.600
2007-01-01;96.664
2007-04-01;97.606
2007-07-01;98.299
2007-10-01;98.777
2008-01-01;99.822
2008-04-01;98.330
2008-07-01;99.108
2008-10-01;98.893
2009-01-01;99.318
2009-04-01;99.461
2009-07-01;99.028
2009-10-01;97.593
2010-01-01;96.250
2010-04-01;94.518
2010-07-01;93.149
2010-10-01;92.268
2011-01-01;91.860
2011-04-01;90.332
2011-07-01;89.475
2011-10-01;88.332
2012-01-01;86.821
2012-04-01;85.831
2012-07-01;85.486
2012-10-01;84.942
2013-01-01;83.598
2013-04-01;83.307
2013-07-01;82.703
2013-10-01;82.631
2014-01-01;82.420
2014-04-01;81.434
2014-07-01;80.117
2014-10-01;79.929
2015-01-01;78.972
2015-04-01;78.769
2015-07-01;78.579
2015-10-01;78.589
2016-01-01;78.147
2016-04-01;78.105
2016-07-01;78.405
2016-10-01;78.059
2017-01-01;77.453
2017-04-01;77.694
2017-07-01;77.408
2017-10-01;77.187
2018-01-01;76.210
2018-04-01;75.740
2018-07-01;75.937
2018-10-01;75.929
2019-01-01;75.181
2019-04-01;75.208
2019-07-01;75.270
2019-10-01;75.307
2020-01-01;76.296
2020-04-01;84.571
