Non Financial Sector Debt to GDP rate for US (from https://www.bis.org/statistics/c_gaps.htm?m=6%7C380%7C670)
Quarter;Value
31-12-2004;150.6
31-03-2005;150.7
30-06-2005;152.2
30-09-2005;153.5
31-12-2005;154.8
31-03-2006;156.3
30-06-2006;158.1
30-09-2006;159.4
31-12-2006;161.3
31-03-2007;162.4
30-06-2007;164.9
30-09-2007;166.8
31-12-2007;168.4
31-03-2008;169.3
30-06-2008;169
30-09-2008;170
31-12-2008;168.4
31-03-2009;167.8
30-06-2009;168.4
30-09-2009;168.5
31-12-2009;166.8
31-03-2010;165
30-06-2010;162.4
30-09-2010;160.6
31-12-2010;158.6
31-03-2011;157
30-06-2011;155.6
30-09-2011;154.5
31-12-2011;153.7
31-03-2012;152.2
30-06-2012;151
30-09-2012;150.7
31-12-2012;150.5
31-03-2013;149.4
30-06-2013;149.2
30-09-2013;149.4
31-12-2013;149.4
31-03-2014;149.3
30-06-2014;149
30-09-2014;148.2
31-12-2014;148.1
31-03-2015;147.2
30-06-2015;147.9
30-09-2015;147.8
31-12-2015;147.7
31-03-2016;148.2
30-06-2016;148.8
30-09-2016;150
31-12-2016;149.6
31-03-2017;149.7
30-06-2017;150.3
30-09-2017;150.5
31-12-2017;151.3
31-03-2018;150.3
30-06-2018;151
30-09-2018;150.5
31-12-2018;150.3
31-03-2019;150.1
30-06-2019;150.4
30-09-2019;150.7
31-12-2019;150.3
31-03-2020;153.6
30-06-2020;160
30-09-2020;161.5
