Score,GEP,PTR,UP,SC,SCR,TCH
510,18.84692955,17.87578,85.701,211,177,81
495,23.18865967,10.58415,57.715,292,13,60
401,20.20113945,20.58529,85.77,171,3,37
446,22.36016083,17.73363,73.99,258,7,50
528,17.61590958,17.41596,81.259,291,74,59
447,15.00786018,18.3778,87.36,350,19,49
518,5.90241003,16.29441,55.5,334,14,185
416,17.79541016,24.23937,79.764,207,56,47
420,26.49526978,12.6763,76.862,228,30,47
433,32.19517136,11.91513,66.946,187,5,72
493,14.94717979,18.93175,73.477,247,10,36
502,25.05245972,10.73738,87.526,206,47,43
332,14.15977001,18.29098,78.566,211,2,24
534,17.91094971,11.49954,68.416,219,7,45
531,22.03186989,13.33204,85.225,170,41,41
495,17.53957939,18.1766,79.655,181,26,74
509,17.53841972,12.22305,77.2,224,11,50
455,19.65483093,9.64365,78.046,230,1,29
523,14.8510704,13.66248,100,229,24,63
477,18.70171928,10.97863,70.5,186,5,49
473,23.34065056,10.14405,93.7,137,31,41
503,11.86680031,16.06046,62.538,144,15,44
467,21.44091034,12.08838,92.179,202,10,64
481,21.72735023,12.02716,69.565,155,19,84
538,19.4144001,16.17666,91.381,174,14,67
516,30.37957954,16.55424,81.634,171,15,62
490,26.40678978,11.13249,67.98,258,11,49
475,18.32221985,12.86014,67.23,260,18,50
483,19.49184036,8.45773,90.179,192,64,144
529,7.615200043,14.08362,100,225,59,121
443,16.33027077,11.521,74.213,268,57,94
416,14.90326977,26.92701,79.285,232,9,33
509,16.98534012,11.62356,90.173,262,52,59
513,18.33041,14.49628,86.341,251,103,77
498,21.50782967,8.86857,81.091,143,58,34
397,12.92667007,17.9767,77.357,237,11,40
501,23.64642906,10.49058,60.278,181,6,32
501,22.50956917,13.30619,63.514,225,9,161
418,9.881509781,11.62677,98.945,303,61,121
556,10.9616003,18.21792,100,328,204,103
461,20.76486969,15.24933,53.889,186,18,33
513,24.52659988,16.90462,53.781,211,12,46
493,17.29454994,13.18623,79.602,195,20,57
493,21.34428978,12.09754,86.553,180,67,35
506,24.58761978,10.10462,73.718,150,72,54
386,17.42049026,15.79669,68.056,156,3,72
425,14.34016991,18.40513,73.611,202,4,55
509,25.07784081,17.3882,82.626,284,95,73
496,19.8821106,14.45723,81.671,237,237,81
435,8.5651503,11.76053,95.045,204,11,75















