#Country,GDP Growth,Primary School Enrollment in 1960,S.D. Black Market Premium. Standard Deviation of Black Market Premium 1960-89. Levine & Renelt (1992),Total Area of the country,Growth Rate of Population. Average rate between 1960 and 1990,Avg. Years of Primary School. Average years of primary schooling of total population in 1960,Avg. Years of Sec. School. Average years of secondary schooling of total population in 1960,Avg. Years of Higher School. Average years of higher education of total population in 1960,Free Trade Openness,Political Rights Barro 1996,Urbanization Rate
Country,gamma,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10
Algeria,0.01,0.46,0.13,2382.00,0.03,0.74,0.10,0.01,0.00,5.83,0.30
Argentina,0.01,0.98,0.16,2767.00,0.02,4.29,0.60,0.10,0.09,3.94,0.74
Australia,0.02,1.00,0.00,7687.00,0.02,6.35,2.46,0.11,0.69,1.00,0.81
Austria,0.03,1.00,0.00,84.00,0.00,3.10,0.48,0.07,0.78,1.00,0.50
Belgium,0.03,1.00,0.00,31.00,0.00,5.81,1.40,0.14,0.78,1.00,0.66
Brazil,0.02,0.95,0.24,8512.00,0.02,1.87,0.70,0.07,0.09,3.39,0.46
Canada,0.03,1.00,0.00,9976.00,0.01,5.29,2.45,0.33,0.96,1.00,0.69
Colombia,0.02,0.77,0.18,1139.00,0.02,2.02,0.62,0.04,0.09,2.11,0.48
Costa Rica,0.02,0.96,0.22,51.00,0.03,3.02,0.37,0.09,0.42,1.00,0.37
Cyprus,0.05,1.00,0.03,9.00,0.01,3.58,0.66,0.05,1.00,2.11,0.36
Denmark,0.02,1.00,0.00,43.00,0.00,7.70,1.20,0.48,0.78,1.00,0.74
Ecuador,0.02,0.83,0.20,284.00,0.03,2.53,0.38,0.05,0.84,3.72,0.34
El Salvador,0.01,0.80,0.19,21.00,0.02,1.46,0.23,0.02,0.40,3.28,0.38
Finland,0.03,0.97,0.00,338.00,0.00,7.08,0.24,0.13,0.78,1.83,0.38
France,0.03,1.00,0.00,552.00,0.01,3.46,0.53,0.06,0.80,1.00,0.62
Germany. West,0.03,1.00,0.00,249.00,0.00,7.17,0.39,0.06,0.80,1.00,0.77
Ghana,0.00,0.38,0.35,239.00,0.03,0.56,0.11,0.03,0.22,5.89,0.23
Greece,0.04,1.00,0.01,132.00,0.01,3.83,0.49,0.10,0.80,1.94,0.43
Guatemala,0.01,0.45,0.00,109.00,0.03,0.99,0.15,0.02,0.42,4.00,0.33
Haiti,-0.01,0.46,0.00,28.00,0.02,0.47,0.21,0.01,0.00,6.50,0.16
Honduras,0.01,0.67,0.00,112.00,0.03,1.50,0.17,0.02,0.36,4.06,0.23
India,0.02,0.61,0.52,3288.00,0.02,1.33,0.10,0.00,0.02,2.00,0.18
Ireland,0.03,1.00,0.00,70.00,0.01,4.88,1.44,0.13,0.64,1.00,0.46
Israel,0.03,0.98,0.21,21.00,0.03,5.32,1.23,0.29,0.22,2.00,0.77
Italy,0.03,1.00,0.00,301.00,0.00,3.65,0.85,0.07,0.80,1.22,0.59
Jamaica,0.01,0.92,0.02,11.00,0.01,2.16,0.28,0.02,0.42,1.72,0.34
Japan,0.05,1.00,0.00,378.00,0.01,4.90,1.61,0.20,0.73,1.44,0.62
Jordan,0.02,0.77,0.02,89.00,0.03,1.04,0.33,0.03,0.67,5.72,0.43
Kenya,0.01,0.47,0.01,580.00,0.04,1.04,0.11,0.01,0.04,5.33,0.07
Korea,0.07,0.94,0.60,99.00,0.02,2.48,0.66,0.09,0.60,4.44,0.28
Malawi,0.01,0.67,0.09,118.00,0.03,1.60,0.01,0.00,0.00,6.39,0.04
Malaysia,0.04,0.96,0.02,330.00,0.03,1.84,0.44,0.05,1.00,3.11,0.25
Mexico,0.02,0.80,0.00,1958.00,0.03,2.10,0.26,0.04,0.20,3.67,0.51
Netherlands,0.02,1.00,0.00,37.00,0.01,4.82,0.50,0.04,0.80,1.00,0.80
New Zealand,0.01,1.00,0.00,269.00,0.01,7.25,2.26,0.10,0.20,1.00,0.76
Nicaragua,-0.01,0.66,0.32,130.00,0.03,1.89,0.17,0.02,0.33,5.11,0.41
Norway,0.03,1.00,0.00,324.00,0.01,4.83,0.74,0.05,0.78,1.00,0.32
Pakistan,0.03,0.30,0.61,796.00,0.03,0.46,0.16,0.01,0.00,4.94,0.22
Panama,0.03,0.96,0.00,77.00,0.02,3.43,0.74,0.09,0.28,5.72,0.41
Paraguay,0.02,0.98,0.10,407.00,0.03,2.95,0.36,0.04,0.13,4.94,0.36
Peru,0.00,0.83,0.02,1285.00,0.03,2.42,0.49,0.09,0.49,3.78,0.46
Philippines,0.01,0.95,0.34,300.00,0.03,3.02,0.55,0.20,0.16,4.28,0.30
Senegal,0.00,0.27,0.05,197.00,0.03,1.40,0.13,0.02,0.00,4.33,0.23
Singapore,0.06,1.00,0.02,1.00,0.02,1.92,1.06,0.00,1.00,4.50,1.00
Spain,0.04,1.00,0.00,505.00,0.01,3.10,0.31,0.03,0.78,2.39,0.57
Sri Lanka,0.02,0.95,0.87,66.00,0.02,2.39,1.02,0.01,0.40,2.44,0.18
Sweden,0.02,0.96,0.00,450.00,0.00,5.12,2.23,0.23,0.78,1.06,0.73
Switzerland,0.02,1.00,0.00,41.00,0.01,5.07,1.50,0.29,1.00,1.00,0.51
Tanzania,0.02,0.25,0.01,945.00,0.03,0.93,0.27,0.13,0.00,6.00,0.05
Thailand,0.05,0.83,0.03,513.00,0.03,3.20,0.23,0.02,1.00,3.94,0.13
Tunisia,0.03,0.66,0.85,164.00,0.02,0.29,0.13,0.03,0.13,5.61,0.36
Turkey,0.03,0.75,0.75,779.00,0.02,1.69,0.23,0.02,0.13,3.33,0.30
Uganda,-0.01,0.49,0.01,236.00,0.03,1.04,0.11,0.00,0.16,5.78,0.05
